# Reference: Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock
Haplogroup	Time estimate (years)	SD (years)
H27	3906.5	2364.2
H27a	999.3	1307.8
H27b	999.3	1527.9
H27d	2104.8	1880
H18	3309.6	3665.7
H20	10831.4	2301.3
H20a	7363.2	3634.3
H20b	1084.4	1678.8
H23	2064.2	2842
H24	5277.4	2999.2
H24a	3696.6	2552.8
H24a1	900.9	2213.2
H24b	1519.6	11443.5
H26	9991	2521.3
H26a	5378.8	2948.9
H26a1a	3833.4	2879.7
H26b	6753.3	2779.1
H26c	2941.7	7620.6
H28	9314.9	3590.2
H28a	3546.2	2603.1
H29	5881.9	3728.6
H30	11346.1	1886.3
H30a	4395.7	3263.3
H30b	9702.3	4263
H30b1	3414.2	2791.7
H33	7503.2	3659.4
H33a	1766.9	2401.9
H33b	3396	2766.6
H34	4675.3	3804
H64	4679.9	3521.1
H85	3737.6	3973.8
H35	9168.7	3319.9
H35a	6516.4	4080.7
H39	5120.9	3036.9
H39a	1115.8	1534.2
H39b	2556.6	2471
H40	5116.3	5294.2
H40a	5116.3	4363.6
H40b	1115.8	6029.8
H41	4840.5	2955.2
H42	9008.5	3810.3
H42a	4249.2	3477.1
H42a1	1353.4	2659.7
H43	3979.5	3917.2
H44	10512.8	2791.7
H44a	3719.4	2917.5
H44b	6604.6	3659.4
H45	9079.2	4137.3
H45a	1510.6	2992.9
H45b	3851.7	3338.7
H47	8937.9	3036.9
H47a	1263.7	1754.3
H48	3979.5	4231.6
H49	8345.7	2948.9
H49a	4849.7	2810.6
H50	2064.2	5627.4
H51	6925.3	4439.1
H51a	1326.5	1905.2
H53	9145.2	5300.5
H54	8270.6	4596.3
H55	9385.7	3282.1
H55a	5494	3338.7
H56	4693.7	2986.6
H57	10664.9	3093.5
H58	9877.3	3200.4
H58a	7461.2	3609.1
H59	5678.6	4175
H60	7685.4	3860.6
H61	4689.1	4445.4
H62	7120.8	5432.5
H63	3979.5	3395.3
H65	8162.8	4483.1
H66	1735.4	3112.4
H67	9470.7	3464.5
H67a	3952.1	3093.5
H70	8261.2	4659.1
H71	9796.9	3389
H72	2860.1	6941.6
H73	7905.2	4156.1
H73a	1411.8	1741.7
H73a1	610.4	1150.6
H76	5881.9	6017.3
H78	10289.7	2936.3
H79	5480.2	4149.8
H79a	2669.8	2621.9
H80	1735.4	2452.2
H81	8270.6	3998.9
H83	3975	5388.5
H86	3979.5	4049.2
H87	5678.6	5583.4
R1	11420.5	3550.4
R1a	8293.9	2605.9
R1a1	7046	2334.8
R1a1a	3973.8	2229.9
R1a1a1	2130.3	1976.3
R1a1b	2004.9	1993.8
R2JT	53771.5	5719
R2	13719	6934.6
JT	46908.3	6549.8
J	34258.3	4886.2
J1	26935.1	5272.9
J1b	16233.1	3466.1
J1b1	13860.3	3269.2
J1b1a	8287.7	3662.9
J1b1a1	6971.3	2341.2
J1b1a1a	4073	2713.8
J1b1a1b	1992.2	1856.1
J1b1a1c	5206.5	2671.6
J1b1a3	5407.3	3290.3
J1b1b	11853.5	3388.7
J1b1b1	7826.8	3754.3
J1b2	6166.7	5561.2
J1b3	3181.4	3086.4
J1b4	2851.5	2791.1
J1c	13072.3	1919.3
J1c1	10090.8	2228.7
J1c1a	1173	1778.7
J1c1b	8781.4	2313.1
J1c1b1	7555.1	2671.6
J1c1b1a	5052.1	3445
J1c1b2	2952.9	2242.7
J1c1b2a	762.6	1061.6
J1c1c	5799.5	3965.2
J1c2	9762.5	2010.7
J1c2a	6836	3388.7
J1c2b	6758.1	2692.7
J1c2b1	1077.8	3726.2
J1c2b2	3986.2	3002
J1c2c	4543.9	2313.1
J1c2c1	2942.8	2249.8
J1c2c2	2204	1792.8
J1c2c2a	872.6	1321.7
J1c2d	1559.4	4851.1
J1c2e	7962.9	2383.4
J1c2e1	1423.8	2017.8
J1c2e2	2598.3	2875.5
J1c2e3	4826	2594.3
J1c2f	1926.7	3128.6
J1c2g	2466.7	2748.9
J1c3	8855.1	2242.7
J1c3a	4303.2	2713.8
J1c3a1	1363.6	1806.9
J1c3a2	2264.6	2151.4
J1c3b	4113.9	2467.7
J1c3b1	2093	2270.9
J1c3b1a	837.6	2819.3
J1c3b2	1328.4	4443.3
J1c3c	4206	2756
J1c3c1	1343.5	1785.8
J1c3d	3945.3	3023.1
J1c3e	7299.4	2601.3
J1c3e1	3991.3	2636.5
J1c3e2	4918.5	3016.1
J1c3f	1866.3	2692.7
J1c3g	5675.5	4323.8
J1c4	4073	3086.4
J1c4b	2173.8	2601.3
J1c4c	1323.4	1827.9
J1c5	10632.1	2320.1
J1c5a	6898.4	3184.8
J1c5a1	4037.3	3564.5
J1c5b	5227	3494.2
J1c5c	5221.9	3691
J1c5d	6021.8	3184.8
J1c7	5949.4	3965.2
J1c7a	1982.1	5371.3
J1c12	5660	3571.5
J1c13	1087.8	2249.8
J1c14	992.7	2917.7
J1c8	6177.1	3416.9
J1c8a	1243.2	5174.5
J1c9	4001.5	3768.4
J1c10	7774.5	3845.7
J1c11	4733.6	3501.2
J1d	16556.3	4422.2
J1d1	14331.5	4612
J1d2	12014.1	5104.2
J2	28259.7	4605
J2a	24051.5	4183.2
J2a1	21186.1	4485.5
J2a1a	12986.1	4077.7
J2a1a1	8949.8	3051.3
J2a1a1a	7591.6	2889.6
J2a1a1a1	3960.7	2664.6
J2a1a1a2	3618.9	2973.9
J2a1a1a2a	697.6	1005.4
J2a1a1b	1504.1	6250.2
J2a1a1c	0	9203
J2a1a2	9778.4	3831.7
J2a2	16052.5	3880.9
J2a2a	12819.3	3944.1
J2a2b	12287.5	5258.9
J2b	13379.5	5055
J2b1	9281.8	3107.5
J2b1a	7518.5	2179.5
J2b1a1	6451.7	2355.2
J2b1a1a	2279.8	2214.6
J2b1a2	5031.6	2882.5
J2b1a3	4282.7	3044.2
J2b1a4	2512.3	2559.1
J2b1b	1288.3	2889.6
T	25149.4	4668.3
T1	16309.7	6538.4
T1a	14684.3	4823
T1a1	6997.3	2088.1
T1a1a	3649.5	3522.3
T1a1a1	1238.1	4112.9
T1a1b	3863.7	2460.7
T1a1c	2401	2559.1
T1a1i	2401	2988
T1a1j	5221.9	2495.8
T1a1k	4764.4	2938.8
T1a3	4119	3592.6
T1a2	12308.9	3887.9
T1a2a	3965.8	3213
T1a4	9371.5	4464.4
T1a5	10844.9	5427.6
T1a6	1815.9	9730.3
T1b	6161.5	4801.9
T2	19316.5	2545.1
T2a	17105.4	2868.5
T2a1	15222.8	2741.9
T2a1a	6425.8	2165.4
T2a1a2	2942.8	2720.8
T2a1a3	1042.7	1406.1
T2a1a5	1659.9	2214.6
T2a1a6	3843.3	2868.5
T2a1a7	1659.9	4239.4
T2a1b	13930.7	2685.7
T2a1b1	10946	2777.1
T2a1b1a	9498.2	2671.6
T2a1b1a1	8408.4	2664.6
T2a1b1a1a	7054.5	3339.5
T2a1b2	10743.8	3325.5
T2b	10069.6	1610
T2b1	3664.8	3480.1
T2b2	6462.1	3515.3
T2b2b	3318.6	2952.8
T2b2b1	832.6	1195.2
T2b3	9202.7	1961.5
T2b3a	3833.1	2847.4
T2b3c	7137.9	2263.8
T2b3d	4482.4	3740.3
T2b3e	3410.2	3142.7
T2b3b	1891.4	11031
T2b4	5815	4851.1
T2b4a	3573.1	2847.4
T2b4b	1921.7	3613.7
T2b4f	1921.7	2024.8
T2b21	6399.9	3416.9
T2b5	4964.7	3107.5
T2b5a	2199	2193.5
T2b5a1	872.6	1434.2
T2b6	5273.4	3437.9
T2b6a	3318.6	3086.4
T2b6b	1198	1321.7
T2b7	10069.6	4548.8
T2b7a	6498.4	3880.9
T2b7a1	2289.9	3536.4
T2b7a2	2289.9	2193.5
T2b9	2244.4	2228.7
T2b11	2958	2770
T2b13	4477.3	2538
T2b13a	2330.3	2158.4
T2b13b	2907.3	2601.3
T2b15	0	13871.3
T2b16	1936.8	3691
T2b17	5716.8	3986.3
T2b17a	1193	1638.1
T2b19	6758.1	2917.7
T2b19b	4564.4	2566.2
T2b22	0	7958.6
T2b23	8387.4	1996.7
T2b23a	6752.9	2186.5
T2b24	5716.8	3880.9
T2b24a	1193	1638.1
T2b25	6856.8	3262.2
T2c	14591.9	3571.5
T2c1	10520.5	3571.5
T2c1a	1856.2	1806.9
T2c2	5882.2	3909
T2c3	11084.5	4204.3
T2d	13584.7	3937.1
T2e	11858.8	3234.1
T2e1	9176.4	2896.6
T2e1a	7847.8	2945.8
T2e2	9931.8	3445
T2e5	3196.6	3058.3
T2f	11260.4	3670
T2f1	3792.2	2524
T2f1a	2527.4	2214.6
T2f2	3506.9	4457.4
T2f3	3120.4	3880.9
T2f4	7576	4288.6
T2f5	4677.2	3430.9
T2g	15713.6	5301
T2g1	3135.7	8057
T2g2	5995.9	4162.1
T2g2a	2887	3283.3
T2h	15500.8	4569.9
T2j	16457.7	4422.2
R3	12245.8	6768.4
R5	33969.5	9662.9
R5a	30665.3	8552.3
R5a1	16993.4	7013.3
R5a1a	1679.2	2334.8
R5a2	16277	5754
R5a2a	10698.1	5395.5
R5a2b	8437.5	2973.2
R5a2b1	3390.6	3270.5
R5a2b2	7597.3	2981.9
R5a2b3	5480.1	3629.1
R5a2b4	3390.6	4407.3
R6	43855.2	9645.4
R6a	41310.8	8832.2
R6a1	29883.5	8692.2
R6a1a	2557.6	2658.4
R7	31551.2	5780.3
R7a	16426.9	5981.4
R7a1	9419.6	3515.4
R7a1a	4132.7	3392.9
R7a1b	6309.5	3585.3
R7a1b1	2249.6	2116.2
R7a1b2	1647.9	3148.1
R7b	23926.4	5509.2
R7b1	15020.9	5614.1
R7b1a	9518.1	4381.1
R7b1a1	2595.4	3331.7
R7b2	12599.6	5605.4
R8	32783.3	6890.8
R8a	25618.7	6121.3
R8a1	15943.5	4197.5
R8a1a	13954.5	2894.5
R8a1a1	12092.4	2588.4
R8a1a1a	9754.8	3235.5
R8a1a1b	9327.7	3672.8
R8a1a1c	9327.7	4328.6
R8a1a1d	4897.6	3506.6
R8a1a2	9413.1	3550.4
R8a1a2a	2935.6	2238.6
R8a1a3	11009.2	5019.5
R8a1b	1679.2	2317.3
R8a2	20279.6	6532.3
R8b	14237.4	5343
R8b1	10976.1	4241.2
R8b1a	8613.9	4311.1
R8b2	1260.7	6969.5
R9	46709.5	7651.6
R9b	38480.9	8736
R9b1	22526.5	6882.1
R9b1a	16972.9	5028.2
R9b1a1	9590.4	4407.3
R9b1a1a	5987.5	4092.5
R9b1a2	8170	4459.8
R9b1b	6819.6	5456.7
R9b2	2860	3436.7
R9c	46709.5	6296.2
R9c1	8215.6	5150.6
F	42939.3	5561.6
F1	31543.9	7520.5
F1acf	23123.4	5246.8
F1a	18730	4424.8
F1a14	16501.9	4416.1
F1a1	10863.5	2990.7
F1a1a	7655.8	3043.2
F1a1a1	5634.1	3043.2
F1a1b	3068.2	3148.1
F1a1c	6303.1	3462.9
F1a1c1	874.5	3900.1
F1a1d	3068.2	3016.9
F1a4	5659.8	3296.8
F1a2	8659.6	5386.7
F1a3	7169.1	5168.1
F1c	18427	6051.3
F1f	6910.1	5404.2
F1b	11759.5	4468.5
F1b1a	8235.2	2868.3
F1b1a1	6942.5	2667.1
F1b1a1a	5249.4	2133.7
F1b1a1a1	4132.7	1967.6
F1b1a1a1a	2721.3	2090
F1b1a1a2	1516.6	2020
F1d	6393.3	5037
F1e	23243	6270
F1e1	1279.4	1783.9
F1e2	5025.4	3926.4
F2	18330.6	6095.1
F2a	9939.1	6812.1
F3	26373.2	6121.3
F3a	20168.6	6532.3
F3b	21421.2	6296.2
F3b1	5897.5	5360.5
F4	35138.7	6497.3
F4a	18234.4	6261.2
F4a1	2343.8	3008.2
F4b	8914.8	6112.6
R11B6	44386.2	7791.5
R11	21344.4	6409.9
R11b	18950.7	6374.9
B6	19019.7	7686.6
B45	49544.7	6619.4
B4	42947.5	5430.6
B4a	24194.5	4520.6
B4a1	21811.9	4667.4
B4a1a	9540.9	2289.6
B4a1a1	7196.9	2304.3
B4a1a1a	5358	2275
B4a1a1a1	2628.6	3493.2
B4a1a1a2	1146.1	1555.8
B4a1a1a4	3354.2	2443.8
B4a1a1b	4158	4072.9
B4a1a2	4168.6	3162.9
B4a1a3	7245.8	3162.9
B4a1a4	2877.1	4021.6
B4a1a5	7251.3	2972.1
B4a1b	6404.7	3750
B4a1b1	3965.9	2715.3
B4a1b1a	2127.5	1966.7
B4a1c	19721.5	5093
B4a1c1	17352.2	5489.3
B4a1c2	3556.1	3192.3
B4a1c4	14635.3	5247.1
B4a1c3	16818.5	5445.2
B4a1c3a	2080.1	2032.8
B4a2	17674.2	5195.7
B4a2a	12661.5	5188.4
B4a3	7278.5	4850.8
B4g	15163.2	6758.9
B4h	19634.4	7558.8
B4bde	37308	5393.9
B4b	28712.2	4821.5
B2	16818.5	2619.9
B2a	12134.9	3162.9
B2a1	8825.5	3405.1
B2a1a	5153.8	3449.1
B2a1a1	1497	2891.4
B2a2	9789.2	3684
B2b	14255.9	3904.1
B2c	9226.9	5093
B2c1	5837.3	3918.8
B2d	2898.3	2847.4
B2g	13510.6	3111.6
B2g1	10969.3	3537.2
B2h	6773.2	4704
B2i	5950.6	3595.9
B4b1	25156.8	5049
B4b1a	19344.1	5203.1
B4b1a1	3317	2201.6
B4b1a1a	1853.9	1952.1
B4b1a2	15237.2	3838.1
B4b1a2a	10736	4315.1
B4b1a2b	5089.3	6590.1
B4b1a2c	1680.6	9070.5
B4b1a2d	1135.6	1636.5
B4b1bc	21641.9	5929.6
B4b1b	3502.9	3405.1
B4b1c	16898.7	6913
B4d	27021.1	7800.9
B4d123	20589.1	5276.5
B4d1	15544.4	6017.7
B4d3	3200.3	2583.2
B4c	34160.3	6597.4
B4c1	30123	6957
B4c1ab	27555.4	6590.1
B4c1a	11125.1	6582.7
B4c1a1	8375.8	3126.2
B4c1a1a	5019.6	2832.7
B4c1a2	1885.5	7676.2
B4c1b	22581.8	4858.2
B4c1b1	5934.5	3045.5
B4c1b1a	2401.6	1922.7
B4c1b2	14499.3	4351.8
B4c1b2a	9138.8	4337.1
B4c1b2b	8085.8	4505.9
B4c1c	9960.5	4315.1
B4c1c1	3433.8	3229
B4c2	7109.9	3676.6
B4c2a	4821.1	3390.4
B4f	15641.3	5115
B4f1	7719.8	4117
B5	41561.3	5797.5
B5a	27651.6	5914.9
B5a1	22470	5232.4
B5a1a	8737.7	5922.3
B5a1a1	3444.5	3419.8
B5a1b	14272.9	5687.4
B5a2	14459.7	5467.3
B5a2a	9122.3	5100.3
B5b	25556	4219.7
B5b1	22546.5	4271.1
B5b1ab	17415.4	5056.3
B5b1a	6502.1	3955.5
B5b1b	2464.9	2531.8
B5b1c	9485.8	4351.8
B5b2	18764.8	4271.1
B5b2ab	15436.3	4322.4
B5b2a	4473.1	4043.6
B5b2b	7327.4	3801.4
B5b2b1	1366	2319
B5b2c	5336.5	3229
B5b3	8025.6	5320.5
R24	17986.9	6847.1
R22	31369.4	7494.2
R30	53576.8	3961.4
R30a	19261.4	6943.3
R30b	50977	4713.4
R30b1	14203.7	5281.8
R31	54895	3113.1
R31a	10724.6	4591
R31a1	1810.6	1775.2
R31b	14176.7	6086.3
P	54801.3	2501
P1	32929.4	6165
P1d	29673.9	6121.3
P1d1	26458.7	6427.4
P210	50204.3	5141.9
P3	41265.7	5255.6
P3a	25022.6	7153.2
P3b	35514.7	5649.1
P3b1	20926.2	5885.2
P4	52962.1	4407.3
P4a	18633.6	4512.3
P4a1	14399.2	4241.2
P4b	40094.8	7126.9
P4b1	16215.7	6436.1
P6	48157.1	6803.4
U	46531.1	3289.3
U1	31955.4	5352.5
U1ac	24605	4779.8
U1a	18462.2	3832.6
U1a1	11153	4471.4
U1a2	6240.1	4383.3
U1a3	13652.9	4691.7
U1a4	12460.4	5939.9
U1b	13664.2	5829.7
U1b1	11576.6	4985.4
U5	30248.3	5330.5
U5a	22440.5	4926.6
U5a1	16936.2	2819.4
U5a1a	12124.3	4030.9
U5a1a1	6836.3	3928.1
U5a1a1a	1398.1	1872.3
U5a1a1b	3292.1	2643.2
U5a1a1d	2039	2224.7
U5a1a2	10281.1	3590.3
U5a1a2a	2830.9	2533.1
U5a1a2a1	1628.9	1762.1
U5a1a2b	8358.1	3377.4
U5a1a2b1	3090.5	2364.2
U5a1g	7407.4	5044.1
U5a1b	8374.6	2760.7
U5a1b1	6983	1967.7
U5a1b1a	5006	2525.7
U5a1b1a1	1476.7	2422.9
U5a1b1b	3085.2	5198.3
U5a1b1c	4920.1	2349.5
U5a1b1c1	2487.3	2606.5
U5a1b1c2	2466.1	2210
U5a1b1d	4074.6	4339.3
U5a1b1e	5210.1	2613.8
U5a1b1f	3856	2929.5
U5a1b2	3377.1	4133.7
U5a1b3	2012.7	1997.1
U5a1b4	4582.4	4420
U5a1c	14608.9	4016.2
U5a1c1	4989.9	4552.2
U5a1c2	12932	4045.6
U5a1c2a	5888.9	4309.9
U5a1d	15102.8	3223.2
U5a1d1	7587.3	5704.9
U5a1d2	13568.3	3509.6
U5a1d2a	3451.5	2709.3
U5a1d2a1	1434.8	2290.8
U5a1d2b	4234.8	3201.2
U5a1e	6798.3	5389.2
U5a1f	15518.3	3113.1
U5a1f1	10763.7	3920.7
U5a1f1a	6505.4	3590.3
U5a1f1a1	4909.4	3120.4
U5a1h	1015.9	2239.4
U5a2	18416	3876.7
U5a2a	12965.7	5917.8
U5a2a1	6094.1	2635.9
U5a2a1a	1235.7	1923.7
U5a2a1b	3021.6	2320.1
U5a2a1b1	1718.2	1945.7
U5a2a1c	2852.1	3105.8
U5a2a1d	2450.3	3105.8
U5a2b	11437.2	3186.5
U5a2b1	10236.8	4464.1
U5a2b1a	8117.2	4155.7
U5a2b1b	6250.9	5609.5
U5a2b2	3440.9	2591.8
U5a2b3	6175.2	3406.8
U5a2b4	8385.5	4552.2
U5a2c	11442.7	3274.6
U5a2c1	3840	3583
U5a2c2	8380	3964.8
U5a2c3	9011.4	3340.7
U5a2c4	2012.7	3590.3
U5a2d	16936.2	3847.3
U5a2d1	6407.9	4302.5
U5a2e	2307.8	3392.1
U5b	22794	3590.3
U5b1	15529.7	4889.9
U5b1a	8654.3	4478.8
U5b1b	10819.3	4251.1
U5b1b1	7216.8	3994.2
U5b1b1a	3627	1916.3
U5b1b1a1	2281.4	1681.4
U5b1b1a1a	1356.2	1644.7
U5b1b1d	4272.2	2290.8
U5b1b1f	3451.5	2929.5
U5b1b1b	0	9948.7
U5b1b1e	1912.7	1901.6
U5b1b2	1981.1	2782.7
U5b1c	10380.8	3267.3
U5b1c1	8024.2	3729.9
U5b1c1a	1188.5	2900.2
U5b1c2	6733.2	2804.7
U5b1c2a	2873.3	2408.2
U5b1c2b	2344.7	2797.4
U5b1e	3611	2481.7
U5b1e1	2603.5	1872.3
U5b1e1a	984.5	2070.5
U5b1f	1870.6	3494.9
U5b1d	11699.4	4346.6
U5b1d1	9082.9	3788.6
U5b1d1a	4026.6	2643.2
U5b1g	1319.5	2951.6
U5b2	20040.2	3208.6
U5b2a	14938	3656.4
U5b2a1	13483.7	4155.7
U5b2a1a	10619.3	3810.6
U5b2a1a1	4325.7	3414.1
U5b2a1a1a	1366.6	1989.7
U5b2a1a1b	4325.7	3098.4
U5b2a1a2	2265.6	2503.7
U5b2a1b	2592.9	2533.1
U5b2a2	10780.4	3333.4
U5b2a2a	4866.5	3157.2
U5b2a2a1	1455.8	2026.5
U5b2a2b	4737.8	2555.1
U5b2a2b1	2423.9	2136.6
U5b2a2c	1387.6	1923.7
U5b2a3	8522.6	5528.7
U5b2a4	5527.6	4618.3
U5b2a4a	2688.1	2599.1
U5b2a5	1089.1	1519.8
U5b2a6	6002.3	5719.6
U5b2b	14676.9	2716.6
U5b2b1	12533.3	3304
U5b2b1a	9325.2	3443.5
U5b2b1a1	4871.8	4030.9
U5b2b1a2	6760.3	3304
U5b2b1b	3270.9	3421.5
U5b2b2	9882.6	4192.4
U5b2b3	8769.6	2966.3
U5b2b3a	4866.5	2459.6
U5b2b3a1	3541.9	2327.5
U5b2b3a1a	2381.7	1997.1
U5b2b4	1812.8	10800.4
U5b2c	12651.1	5668.2
U5b2c1	4015.9	3898.7
U5b2c2	2836.2	3318.7
U5b3	10508.4	2885.5
U5b3a	9082.9	3061.7
U5b3a1	7641.9	2988.3
U5b3a1a	2524.2	2290.8
U5b3a1b	4331	3671.1
U5b3a2	6462.1	3656.4
U5b3b	3722.8	6277.6
U5b3c	3595.1	2856.1
U5b3d	5183.2	3296.7
U5b3e	4208.1	3884
U5b3f	1970.6	2760.7
U6	37253.2	5873.8
U6abd	32132.9	5829.7
U6a	25086.7	3744.5
U6a1	20133.4	4941.3
U6a1a	14977.8	5036.8
U6a1a1	3069.3	3201.2
U6a1a2	11058.4	4706.4
U6a1b	17481.9	5374.5
U6a1b1	8336.2	4816.5
U6a2	18092.6	4493.4
U6a2a	13861.8	4801.8
U6a3	16277.4	5646.2
U6a3a	10225.7	5616.8
U6a3a1	6245.5	3986.8
U6a3b	15063	5323.1
U6a4	9976.6	5396.5
U6a5	12062.7	4581.5
U6a5a	7931.3	4588.9
U6a6	9965.6	4625.6
U6a7	23218.8	4170.4
U6a7a	2492.5	3318.7
U6b	13997.4	5734.3
U6b1	2915.6	3274.6
U6b1a	1670.9	3443.5
U6d	14365.2	5029.4
U6d1	5678.5	3135.1
U6d1a	1571.2	2246.7
U6c	7592.8	4882.6
U234789	45001.5	3186.5
U2	42805.7	4493.4
U2a	22693.8	8274.7
U2b	29253.5	5815
U2b1	22929.6	6365.7
U2b2	5382.2	3421.5
U2cd	39454.7	6042.7
U2c	29944.6	6593.3
U2c1	22117	6696.1
U2d	20780.9	5058.8
U2d1	14659.9	5249.7
U2d2	8599.4	5102.8
U2e	19290.4	4097
U2e123	17873.5	3392.1
U2e1	14898.3	2790
U2e1a	8363.6	3384.8
U2e1a1	6153.6	2591.8
U2e1a1a	4293.6	2973.6
U2e1a1b	3722.8	2746
U2e1b	11967.6	3179.2
U2e1b1	3888	2966.3
U2e1c	8895.9	4309.9
U2e1d	7630.9	5477.3
U2e1e	6586.7	4434.7
U2e1f	11716.2	3854.7
U2e2	12724.1	3722.5
U2e2a	8736.6	2760.7
U2e2a1	4694.9	3700.5
U2e2a2	5683.8	2768
U2e2a3	5608.4	3913.4
U2e2a4	6272.6	3553.6
U2e3	1047.3	4500.8
U3	32702.7	5704.9
U3a	14818.8	4640.3
U3a1	8912.4	3840
U3a1a	6847.2	3825.3
U3a1b	0	15925.3
U3a1c	3478.1	4882.6
U3a2	11336.8	4721.1
U3b	18959.9	3906.1
U3b1	16993.5	3913.4
U3b1a	14433.1	4023.5
U3b1b	1891.7	2628.5
U3b2	18959.9	6563.9
U3b2a	8720.1	5117.5
U49	37141	5763.6
U4	17493.5	3069.1
U4a	14949.4	3348.1
U4a1	7734.6	2628.5
U4a1a	4700.3	4632.9
U4a1a1	4700.3	3223.2
U4a1b	4662.8	2474.3
U4a1b1	3387.7	2547.8
U4a1c	1000.2	1387.7
U4a1d	3255	3091.1
U4a2	8802.5	2459.6
U4a2a	4031.9	3781.2
U4a2a1	2666.9	3436.2
U4a2b	1865.4	2709.3
U4a2c	7440.1	2738.7
U4a2c1	1581.7	2085.2
U4a2d	1865.4	2569.8
U4a2e	3776.1	2679.9
U4a2f	4491.4	2503.7
U4a3	4144	2782.7
U4b	12589.4	2804.7
U4b1	11520.8	2790
U4b1a	10120.5	2694.6
U4b1a1	4652.1	3458.2
U4b1a1a	2809.8	3113.1
U4b1a1a1	733.9	2400.9
U4b1a2	3159.5	1967.7
U4b1a2a	1781.3	1644.7
U4b1a3	4812.8	2819.4
U4b1a3a	3483.4	2437.6
U4b1a4	1345.7	2129.2
U4b1b	8199.3	3663.8
U4b1b1	6353.8	3296.7
U4b1b1a	1120.5	4970.7
U4b2	9143.5	3656.4
U4b2a	7358.4	3516.9
U4b3	9000.4	4030.9
U4c	15199.5	3583
U4c1	2281.4	2188
U4c2	9452	4985.4
U4d	14921	3627.1
U4d1	8983.9	3715.2
U4d1a	3132.9	2562.4
U4d1a1	1770.8	1857.6
U4d1b	1875.9	2555.1
U4d2	6310.5	3906.1
U9	23875.3	6483.2
U9a	17292.2	6284.9
U9a1	8281.4	4331.9
U9b	18421.8	5873.8
U9b1	8566.5	5014.7
U7	18052.2	3729.9
U7a	16718.3	3017.7
U7a1	2629.9	2804.7
U7a2	14722.3	4500.8
U7a3	14921	3392.1
U7a4	1251.4	1740.1
U7a5	11839.1	4368.6
U7b	10513.9	5073.5
U7b1	1607.9	7900.2
U8	43034.1	3634.4
U8a	18514.2	5168.9
U8a1	8007.8	2929.5
U8a1a	5629.9	2481.7
U8a1a1	4315	2378.9
U8a1a2	1178.1	1637.3
U8a1b	3308.1	4787.1
U8a2	6245.5	4603.6
U8b	38433.3	4875.2
U8b1	33070.9	7680
U8b1a	28160.1	7158.7
U8b1a1	21659	6857.6
U8b1b	15506.9	7819.5
U8b1b1	1839.1	2753.3
K	26681.5	4339.3
K1	22070	3333.4
K1a	18433.3	1732.8
K1a1	17010.8	2445
K1a1a	9093.9	3539
K1a1a2	7042.8	3105.8
K1a1a2a	4812.8	2878.2
K1a1a2a1	2450.3	2202.7
K1a1b	16003.1	2503.7
K1a1b1	14218	3017.7
K1a1b1a	4823.6	3575.7
K1a1b1b	7320.3	4471.4
K1a1b1c	1797	9001.6
K1a1b1d	1571.2	2210
K1a1b1e	5905	5697.6
K1a1b2	14750.7	2724
K1a1b2a	9071.9	3450.8
K1a1b2a1	4550.3	2467
K1a1b2a1a	2947.4	2092.5
K1a1b2b	10452.9	4684.3
K1a1c	5856.5	3825.3
K1a2	13602.1	3164.5
K1a2a	9165.5	3986.8
K1a2a1	2376.4	2276.1
K1a2b	9507.1	4383.3
K1a2c	8786	3759.2
K1a3	11141.9	3516.9
K1a3a	9082.9	2760.7
K1a3a1	4464.7	2195.3
K1a3a1b	2899.8	2048.5
K1a3a2	6104.9	2951.6
K1a3a3	7004.7	3171.8
K1a4	15940.3	2342.2
K1a4a	14093.5	2679.9
K1a4a1	9617.5	2327.5
K1a4a1a	6045.5	2650.5
K1a4a1a1	984.5	1402.4
K1a4a1a2	4636	2430.3
K1a4a1a2a	2386.9	2180.6
K1a4a1a2b	1807.5	2276.1
K1a4a1b	7570.9	2812.1
K1a4a1b1	4298.9	3487.6
K1a4a1b2	4636	2863.5
K1a4a1c	5592.2	3289.3
K1a4a1d	4963	3964.8
K1a4a1e	4882.5	4155.7
K1a4a1f	3738.8	3208.6
K1a4a1f1	1534.4	2026.5
K1a4b	12051.5	3524.3
K1a4c	10308.8	4442
K1a4c1	3547.2	2760.7
K1a4d	1471.5	2400.9
K1a4f	6413.3	4229.1
K1a4f1	2942.1	3179.2
K1a5	4855.7	4537.5
K1a78	15763.4	5587.4
K1a8	7603.7	4111.6
K1a8a	5597.6	3546.3
K1a9	1691.9	2371.5
K1a10	6413.3	3370.1
K1a10a	2693.4	3531.6
K1a13	3366.5	2665.2
K1a13a	1518.7	1578.6
K1a14	1544.9	2121.9
K1a15	3366.5	4082.3
K1a16	3106.4	3913.4
K1a11	4769.9	2856.1
K1a11a	1849.6	2305.5
K1a11b	2434.5	2672.6
K1a12	15097.1	4353.9
K1a12a	12982.6	3913.4
K1a12a1	11320.1	3957.5
K1a12a1a	9750	4104.3
K1a17	12085.1	3854.7
K1a17a	9193	3700.5
K1a18	14807.4	3215.9
K1a19	14949.4	4442
K1a20	5727	3627.1
K1a21	2756.8	2701.9
K1a22	10747.1	5000.1
K1a23	16088.8	3472.9
K1a24	10863.7	6042.7
K1a24a	2297.3	2650.5
K1a25	8572	4610.9
K1b	20664.1	3392.1
K1b1	16729.7	3421.5
K1b1a	9971.1	3377.4
